"Sample","Passage","Group","Strain","Species","Start.date","Extraction.date","Days.on.plate","X","Ct","block","Species.full"
"FBR39.5",5,"FBR39","SB454","sulstoni","5/7/2021 13:15","5/11/2021 7:20","3.753472222",NA,13.6866,1,"C. sulstoni"
"FBT7",0,"FBT7","JU1331","doughertyi","5/28/2021 9:30","6/4/2021 12:15","7.114583333",NA,18.4458,2,"C. doughertyi"
"FBT8",0,"FBT8","JU1331","doughertyi","5/28/2021 9:30","6/6/2021 7:15","8.90625",NA,17.3408,2,"C. doughertyi"
"FBT9",0,"FBT9","JU1331","doughertyi","5/28/2021 9:30","6/6/2021 7:15","8.90625",NA,19.0647,2,"C. doughertyi"
"FBT10",0,"FBT10","JU724","latens","5/28/2021 9:30","6/10/2021 14:26","13.20555556",NA,24.2133,2,"C. latens"
"FBT11",0,"FBT11","JU724","latens","5/28/2021 9:30","6/25/2021 9:30","28",NA,15.0092,2,"C. latens"
"FBT13",0,"FBT13","JU1426","castelli","5/28/2021 9:30","6/5/2021 9:05","7.982638889",NA,18.4968,2,"C. castelli"
"FBT14",0,"FBT14","JU1426","castelli","5/28/2021 9:30","6/4/2021 12:15","7.114583333",NA,20.9539,2,"C. castelli"
"FBT15",0,"FBT15","JU1426","castelli","5/28/2021 9:30","6/4/2021 12:15","7.114583333",NA,34.8232,2,"C. castelli"
"FBT16",0,"FBT16","JU1401","elegans","5/28/2021 9:30","6/2/2021 10:40","5.048611111",NA,16.3904,2,"C. elegans"
"FBT17",0,"FBT17","JU1401","elegans","5/28/2021 9:30","6/1/2021 14:00","4.1875",NA,13.0021,2,"C. elegans"
